name,country,price,rating,description,attributes,duration,included,image_url,hotel_stars,season,visa
Боракай,Филиппины,1500,4.9,Самый мелкий белый песок,"пляж, море, вечеринки",8 дней,Завтраки,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Boracay_White_Beach.png/960px-Boracay_White_Beach.png,5*,Зима/Весна,Нет
Катманду,Непал,1300,4.8,Вид на Эверест,"горы, небо, экзотика",10 дней,Гид,https://upload.wikimedia.org/wikipedia/commons/8/88/Clean-_Lalitpur.jpg,5*,Весна/Осень,Нет
Лимасол,Кипр,900,4.6,Солнце почти весь год,"море, пляж, еда",7 дней,Все включено,https://avatars.mds.yandex.net/get-altay/4504251/2a0000017a90a8c0ef73d098fa2a8eda17c9/orig,4*,Лето,Да
Пафос,Кипр,1000,4.7,Место рождения Афродиты,"история, море, мифы",7 дней,Завтраки,https://media.istockphoto.com/id/613057888/ru/фото/вид-на-город-пафос-кипр.jpg?s=612x612&w=0&k=20&c=V0JyAhqtFSoQEm-wfOfN9pFB3eZTTgvbvkATicbAXGg=,4*,Лето,Да
Загреб,Хорватия,800,4.5,Уютная столица,"город, культура, парки",5 дней,Завтраки,https://s.yimg.com/cd/resizer/2.0/FIT_TO_WIDTH-w1200/938c040691466f2bcc395bc8c66b91108229580c.jpg,4*,Круглый год,Да
Любляна,Словения,900,4.8,Самый зеленый город Европы,"город, экология, уют",4 дня,Завтраки,https://upload.wikimedia.org/wikipedia/commons/d/d3/Ljubljana_made_by_Janez_Kotar.jpg,5*,Круглый год,Да
Блед,Словения,1100,4.9,Озеро с замком на острове,"озеро, горы, романтика",3 дня,Лодка,https://avatars.mds.yandex.net/i?id=2b6433dfec2d2e5a7b39a68dcaa795a251b3d6de-5022489-images-thumbs&n=13,5*,Лето,Да
Цюрих,Швейцария,2500,4.9,Часы и шоколад,"город, люкс, горы",5 дней,Шоколадный тур,https://avatars.mds.yandex.net/i?id=65b584d42b68caf03c1570b298dbe28a_l-5355392-images-thumbs&n=13,5*,Круглый год,Да
Женева,Швейцария,2300,4.8,Озеро и фонтан,"город, озеро, бизнес",5 дней,Завтраки,https://i.pinimg.com/originals/a4/bf/bd/a4bfbd99a23ce38045c343757468a9fb.jpg,5*,Круглый год,Да
Интерлакен,Швейцария,2800,5.0,Сердце швейцарских Альп,"горы, природа, спорт",6 дней,Подъемники,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Interlaken._-_panoramio.jpg/1280px-Interlaken._-_panoramio.jpg,5*,Круглый год,Да
Гальштат,Австрия,1500,5.0,Самая красивая деревня,"озеро, горы, фото",3 дня,Гид,https://ak-d.tripcdn.com/images/0352i12000dmavejaB372.jpg?proc=resize/m_z,w_1000;crop/m_c,w_1000,h_1000,x_0,y_0,DD72,5*,Круглый год,Да
Таллин,Эстония,600,4.7,Старый Томас,"город, история, уют",4 дня,Завтраки,https://media.istockphoto.com/id/1870828082/ru/фото/старые-средневековые-вируские-ворота-в-таллинне-городской-пейзаж-старого-города-таллина-эстония.jpg?s=612x612&w=0&k=20&c=W7vk2_CoNR9GVlQV_mR7lIcj6r7Jfn1YXXB-C9LkHFg=,4*,Круглый год,Да
Рига,Латвия,550,4.6,Югендстиль и Рижский бальзам,"архитектура, город, история",4 дня,Завтраки,https://imageio.forbes.com/specials-images/imageserve/68bf2fe4c9916263b44c318a/0x0.jpg?format=jpg&amp;height=900&amp;width=1600&amp;fit=bounds,4*,Круглый год,Да
Вильнюс,Литва,500,4.5,Город ангелов,"город, религия, история",4 дня,Завтраки,https://upload.wikimedia.org/wikipedia/commons/6/6d/Вильнюс..jpg,4*,Круглый год,Да
Люксембург,Люксембург,1800,4.7,Богатая кроха,"город, история, финансы",3 дня,Завтраки,https://avatars.mds.yandex.net/i?id=1bc1d0be4064128a916c87cfb437d863_l-12446123-images-thumbs&n=13,4*,Круглый год,Да
Андорра-ла-Велья,Андорра,1400,4.8,Шоппинг и лыжи,"горы, шоппинг, лыжи",5 дней,Завтраки,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Андорра-Ла-Велья._Горная_река_Валира_%28Valira%29._-_panoramio.jpg/960px-Андорра-Ла-Велья._Горная_река_Валира_%28Valira%29._-_panoramio.jpg,5*,Зима,Да
Монако,Монако,4000,4.9,Казино Монте-Карло,"люкс, море, казино",3 дня,Трансфер,https://upload.wikimedia.org/wikipedia/commons/0/07/The_Casino%2C_Monte_Carlo_-_panoramio.jpg,5* Luxe,Круглый год,Да
Рейкьявик,Исландия,3000,4.9,Голубая лагуна,"природа, спа, холод",7 дней,Спа-билет,https://avatars.mds.yandex.net/i?id=1dfeb0b275cbb6028ca5e5c5037827f6_l-5381926-images-thumbs&n=13,5*,Круглый год,Да
Азорские острова,Португалия,1800,4.9,Край света в океане,"океан, природа, тишина",9 дней,Завтраки,https://dsexpeditions.ru/upload/iblock/d62/tym9e348si6kkr6sw2fzyr54cfmo1ifu.jpg,5*,Лето,Да
Мадейра,Португалия,1500,4.8,Вечная весна,"цветы, природа, океан",8 дней,Завтраки,https://www.onetwotrip.com/ru/blog/wp-content/uploads/2016/12/madeira.jpg,5*,Круглый год,Да
Касабланка,Марокко,1100,4.5,Белый город,"океан, архитектура, город",6 дней,Завтраки,https://media.istockphoto.com/id/2152434554/ru/фото/панорамный-вид-с-высоты-птичьего-полета-на-касабланку-с-большой-мечетью-хасана-ii-и.jpg?s=612x612&w=0&k=20&c=zGGp_g5_jiy6x4K8-CROPYD2QmpgIYPD1QQDQWn1j1E=,4*,Круглый год,Да
Фес,Марокко,900,4.7,Лабиринты медины,"история, экзотика, кожа",5 дней,Гид,https://avatars.mds.yandex.net/i?id=0d3e3b87cac2b67166a7d69eee4d3679_l-5216254-images-thumbs&n=13,4*,Весна/Осень,Да
Агра,Индия,1000,4.9,Белоснежный Тадж-Махал,"история, архитектура, любовь",4 дня,Гид,https://travelask.ru/system/images/files/001/300/911/wysiwyg/1.jpg?1554904470,5*,Зима,Да
Джайпур,Индия,900,4.7,Розовый город,"история, архитектура, слоны",5 дней,Завтраки,https://avatars.mds.yandex.net/i?id=4a063ca08c13a806c7309b99229e30cf_l-7552276-images-thumbs&n=13,4*,Зима,Да
Варанаси,Индия,800,4.3,Священный Ганг,"религия, история, дух",5 дней,Завтраки,https://i.ytimg.com/vi/_miCM_txnac/maxresdefault.jpg,3*,Зима,Да
